Question,Answer
What is the name of the magical UK government?,Ministry of Magic
"What does ""Wingardium Leviosa"" do?",Makes objects levitate
Who is the founder of Slytherin house?,Salazar Slytherin
What creature guards the entrance to the Chamber of Secrets?,A basilisk
"What does the spell ""Alohomora"" unlock?",Doors or locks
What is Harry Potter's wand core made of?,Phoenix feather
What house at Hogwarts values bravery?,Gryffindor
Who is the headmaster of Hogwarts during most of Harry's time there?,Albus Dumbledore
What magical creature is Dobby?,A house-elf
What potion gives the drinker good luck?,Felix Felicis
"What does the spell ""Obliviate"" do?",Erases memories
Who was the Half-Blood Prince?,Severus Snape
What animal represents Ravenclaw house?,Eagle
What spell is used to repel Dementors?,Expecto Patronum
Who is Voldemort's snake?,Nagini
What is the name of the wizarding newspaper?,The Daily Prophet
What platform do students use to board the Hogwarts Express?,Platform 9-1/2
What is the name of the Weasley's house?,The Burrow
What spell is used to summon objects?,Accio
What position does Harry play in Quidditch?,Seeker
