Riddle,Answer
I speak without a mouth and hear without ears.,An echo
"What has roots as nobody sees, is taller than trees?",A mountain
I have keys but no locks. I have a space but no room.,A keyboard
"Forward, I'm heavy; backward, I'm not. What am I?",A ton
"The more you take, the more you leave behind.",Footsteps
What has a heart that doesn't beat?,An artichoke
What can travel around the world while staying in one spot?,A stamp
"I'm light as a feather, yet the strongest man can't hold me for long.",Breath
I'm always in front of you but can't be seen.,The future
What has hands but cannot clap?,A clock
"I am not alive, but I grow; I don't have lungs, but I need air.",Fire
What gets wetter the more it dries?,A towel
What has a ring but no finger?,A phone
What has four wheels and flies?,A garbage truck
"What runs but never walks, has a bed but never sleeps?",A river
"What begins and has no end, and is the key to everything?",A circle
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M
I'm tall when I'm young and short when I'm old.,A candle
I fly without wings. I cry without eyes. What am I?,A cloud
"The more you take away from me, the bigger I get.",A hole
